name,continent,Population,popMM,deaths,code,logdeaths,logpopulation
Afghanistan,Asia,"38,928,346",38.92834600000001,471,AFG,6.154858094016419,17.477233232169805
Albania,Europe,"2,877,797",2.877797,36,ALB,3.58351893845611,14.872535628847919
Algeria,Africa,"43,851,044",43.851044,767,DZA,6.642486801367255,17.596309084936905
Andorra,Europe,"77,265",0.077265,51,AND,3.9318256327243257,11.254996350667795
Angola,Africa,"32,866,272",32.866271999999995,6,AGO,1.791759469228055,17.307957522719065
Antigua and Barbuda,North America,"97,929",0.097929,3,ATG,1.0986122886681098,11.49199800528723
Argentina,South America,"45,195,774",45.195774,833,ARG,6.725033642166842,17.626514144856255
Armenia,Asia,"2,963,243",2.963243,269,ARM,5.594711379601838,14.901794834667802
Australia,Oceania,"25,499,884",25.499883999999998,102,AUS,4.624972813284272,17.0541844610987
Austria,Europe,"9,006,398",9.006397999999997,677,AUT,6.517671272912276,16.013445771627566
Azerbaijan,Asia,"10,139,177",10.139177,119,AZE,4.7791234931115305,16.131917389125274
Bahamas,North America,"393,244",0.393244,11,BHS,2.3978952727983707,12.882185563334325
Bahrain,Asia,"1,701,575",1.701575,42,BHR,3.737669618283368,14.347064850705697
Bangladesh,Asia,"164,689,383",164.68938300000005,1171,BGD,7.065613363597717,18.91957173041068
Barbados,North America,"287,375",0.287375,7,BRB,1.9459101490553128,12.568543262065482
Belarus,Europe,"9,449,323",9.449323,308,BLR,5.730099782973574,16.061453656692002
Belgium,Europe,"11,589,623",11.589623,9655,BEL,9.175231194862617,16.26562068674547
Belize,North America,"397,628",0.39762800000000004,2,BLZ,0.6931471805599453,12.893272173820217
Benin,Africa,"12,123,200",12.1232,6,BEN,1.791759469228055,16.310631530159245
Bhutan,Asia,"771,608",0.771608,0,BTN,-inf,13.55623192802632
Bosnia and Herzegovina,Europe,"3,280,819",3.280819,163,BIH,5.093750200806762,15.003603644313639
Botswana,Africa,"2,351,627",2.351627,1,BWA,0.0,14.670617986988805
Brazil,South America,"212,559,417",212.559417,43332,BRA,10.676646671065457,19.174732116657083
Bulgaria,Europe,"6,948,445",6.9484449999999995,174,BGR,5.159055299214528,15.754028451500027
Burkina Faso,Africa,"20,903,273",20.903273000000002,53,BFA,3.970291913552122,16.855416307544903
Burundi,Africa,"11,890,784",11.890784,1,BDI,0.0,16.29127420425599
Cabo Verde,Africa,"555,987",0.555987,6,CPV,1.791759469228055,13.22850019166441
Cambodia,Asia,"16,718,965",16.718965,0,KHM,-inf,16.63205426179095
Cameroon,Africa,"26,545,863",26.545863,212,CMR,5.356586274672011,17.094384474302107
Canada,North America,"37,742,154",37.742154,8218,CAN,9.014082149443356,17.446288170997757
Central African Republic,Africa,"4,829,767",4.8297669999999995,7,CAF,1.9459101490553128,15.39030878429953
Chad,Africa,"16,425,864",16.425864,73,TCD,4.290459441148391,16.6143677236912
Chile,South America,"19,116,201",19.116201,3323,CHL,8.108623268354595,16.766046753376948
China,Asia,"1,439,323,776",1439.323776,4638,CHN,8.442038517815478,21.08743924023771
Colombia,South America,"50,882,891",50.882891,1670,COL,7.4205789054108,17.7450372953505
Comoros,Africa,"869,601",0.8696010000000001,2,COM,0.6931471805599453,13.675789764742477
Costa Rica,North America,"5,094,118",5.094118,12,CRI,2.4849066497880004,15.44359709876051
Croatia,Europe,"4,105,267",4.1052669999999996,107,HRV,4.672828834461906,15.227781341384423
Cuba,North America,"11,326,616",11.326616,84,CUB,4.430816798843313,16.242665912310404
Cyprus,Asia,"1,207,359",1.207359,18,CYP,2.8903717578961645,14.00394588750436
Denmark,Europe,"5,792,202",5.792202,597,DNK,6.391917113392602,15.572023088130154
Djibouti,Africa,"988,000",0.988,43,DJI,3.7612001156935615,13.803437976730004
